Name;Allegiances;Death Year;Book of Death;Death Chapter;Book Intro Chapter;Gender;Nobility;GoT;CoK;SoS;FfC;DwD
Addam Marbrand;Lannister;;;;56;1;1;1;1;1;1;0
Aegon Frey (Jinglebell);None;299;3;51;49;1;1;0;0;1;0;0
Aegon Targaryen;House Targaryen;;;;5;1;1;0;0;0;0;1
Adrack Humble;House Greyjoy;300;5;20;20;1;1;0;0;0;0;1
Aemon Costayne;Lannister;;;;;1;1;0;0;1;0;0
Aemon Estermont;Baratheon;;;;;1;1;0;1;1;0;0
Aemon Targaryen (son of Maekar I);Night's Watch;300;4;35;21;1;1;1;0;1;1;0
Aenys Frey;None;300;5;;59;0;1;1;1;1;0;1
Aeron Greyjoy;House Greyjoy;;;;11;1;1;0;1;0;1;0
Aethan;Night's Watch;;;;0;1;0;0;0;1;0;0
Aggar;House Greyjoy;299;2;56;50;1;0;0;1;0;0;0
Aggo;House Targaryen;;;;54;1;0;1;1;1;0;1
Alan of Rosby;Night's Watch;300;5;4;18;1;1;0;1;1;0;1
Alayaya;None;;;;15;0;0;0;1;0;0;0
Albar Royce;Arryn;;;;38;1;1;1;0;0;1;0
Albett;Night's Watch;;;;26;1;0;1;0;0;0;0
Alebelly;House Stark;299;2;46;4;1;0;0;1;0;0;0
Alerie Hightower;House Tyrell;;;;6;0;1;0;0;1;1;0
Alesander Staedmon;Baratheon;;;;65;1;1;0;1;0;0;0
Alester Florent;Baratheon;300;4;;36;1;1;0;1;1;0;0
Alia of Braavos;None;;;;28;0;0;1;0;0;0;0
Alla Tyrell;House Tyrell;;;;6;0;1;0;0;1;1;0
Allard Seaworth;Baratheon;299;2;10;10;1;1;0;1;0;0;0
Alliser Thorne;Night's Watch;;;;19;1;0;1;1;1;0;1
Alyn;House Stark;298;3;34;12;1;0;1;0;0;0;0
Alyn Ambrose;Tyrell;;;;59;1;1;0;1;0;1;0
Alyn Estermont;Baratheon;;;;;1;1;0;1;1;0;0
Alyn Stackspear;Lannister;;;;16;1;1;0;0;0;1;0
Alys Karstark;Stark;;;;44;0;1;0;0;0;0;1
Alysane Mormont;Stark;;;;35;0;1;0;0;0;0;1
Alyx Frey;None;;;;49;1;1;0;0;1;0;0
Ambrode;Greyjoy;;;;24;1;0;0;1;0;0;0
Amory Lorch;House Lannister;299;2;47;14;1;1;0;1;0;0;0
Andar Royce;Arryn;;;;29;1;1;1;0;0;0;0
Andrew Estermont;Baratheon;;;;36;1;1;0;0;1;0;0
Andrey Dalt;Martell;;;;21;1;1;0;0;0;1;0
Andrik;Greyjoy;;;;19;1;1;0;0;0;1;0
Anguy;None;;;;30;1;0;1;0;1;0;0
Antario Jast;Lannister;;;;32;1;1;0;1;0;0;0
Anvil Ryn;None;299;3;34;34;1;0;0;0;1;0;0
Anya Waynwood;Arryn;;;;38;0;1;1;0;0;1;0
Archibald Yronwood;Martell;;;;6;1;1;0;0;0;0;1
Ardrian Celtigar;Baratheon;;;;10;1;1;0;1;1;0;0
Areo Hotah;House Martell;;;;2;1;0;0;0;0;1;1
Arianne Martell;House Martell;;;;2;0;1;0;0;0;1;1
Arneld;Lannister;;;;59;1;0;0;1;0;0;0
Arnolf Karstark;Stark;;;;3;1;1;0;0;0;0;1
Aron Santagar;Lannister;299;2;41;18;1;1;1;1;0;0;0
