budget;genres;id;popularity;release_date;revenue;runtime;tagline;title;vote_average;vote_count
237000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]";19995;150.437577;2009-12-10;2787965087;162;Enter the World of Pandora.;Avatar;7.2;11800
300000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]";285;139.082615;2007-05-19;961000000;169;At the end of the world, the adventure begins.;Pirates of the Caribbean: At World's End;6.9;4500
245000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]";206647;107.376788;2015-10-26;880674609;148;A Plan No One Escapes;Spectre;6.3;4466
250000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]";49026;112.31295;2012-07-16;1084939099;165;The Legend Ends;The Dark Knight Rises;7.6;9106
260000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]";49529;43.926995;2012-03-07;284139100;132;Lost in our world, found in another.;John Carter;6.1;2124
258000000;"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]";559;115.699814;2007-05-01;890871626;139;The battle within.;Spider-Man 3;5.9;3576
260000000;"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]";38757;48.681969;2010-11-24;591794936;100;They're taking adventure to new lengths.;Tangled;7.4;3330
280000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]";99861;134.279229;2015-04-22;1405403694;141;A New Age Has Come.;Avengers: Age of Ultron;7.3;6767
250000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]";767;98.885637;2009-07-07;933959197;153;Dark Secrets Revealed;Harry Potter and the Half-Blood Prince;7.4;5293
250000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]";209112;155.790452;2016-03-23;873260194;151;Justice or revenge;Batman v Superman: Dawn of Justice;5.7;7004
